25,1,1,1.75,45,1,87.04933094978333,Truck,0,24,17,8,1,5,14,16,3,6,20,18,9,19,0,Drones,0-13-24,1-21-5,5-23-14,6-10-20,9-4-19,14-2-16,17-7-8,18-22-9,19-15-0,20-12-18,24-11-17
25,1,1,1.75,60,1,52.46096992492676,Truck,0,6,15,16,5,17,23,9,20,18,8,2,12,0,Drones,0-22-6,2-11-12,5-1-17,6-10-15,8-21-2,9-13-20,12-7-0,15-3-16,16-4-5,17-19-23,20-24-18,23-14-9
25,1,1,1.75,75,1,187.30441689491272,Truck,0,9,4,14,5,24,16,23,3,6,2,17,20,0,Drones,0-7-9,2-10-17,3-22-6,4-19-14,5-15-24,6-18-2,9-13-4,14-12-5,16-8-23,17-11-20,20-21-0,24-1-16
25,1,2,1.0,30,1,91.85241293907166,Truck,0,14,10,4,20,19,16,13,5,8,1,15,17,11,21,2,22,0,Drones,1-9-15,1-12-15,13-3-5,13-7-5,15-23-17,15-24-17,17-18-11,22-6-0
25,1,2,1.0,45,1,55.68702006340027,Truck,0,23,16,13,21,14,5,11,20,8,18,10,7,15,4,0,Drones,0-19-23,0-24-23,8-3-18,8-6-18,11-1-20,11-17-20,15-12-4,15-22-4,18-2-10,20-9-8
25,1,2,1.0,60,1,114.59577298164368,Truck,0,5,9,14,17,23,8,21,1,0,Drones,0-2-5,0-7-5,1-12-0,1-19-0,5-15-9,5-20-9,8-16-21,8-22-21,9-10-14,9-24-14,14-11-17,14-18-17,17-6-23,17-13-23,23-3-8,23-4-8
25,1,2,1.0,75,1,615.7076020240784,Truck,0,22,6,13,1,14,7,2,5,0,Drones,0-9-22,0-19-22,1-11-14,1-12-14,2-10-5,2-21-5,5-17-0,5-24-0,6-4-13,6-8-13,7-16-2,7-18-2,14-15-7,14-23-7,22-3-6,22-20-6
25,1,2,1.25,30,1,8.716030359268188,Truck,0,4,19,24,5,20,8,10,17,23,22,13,14,21,1,18,11,7,0,Drones,4-9-19,4-16-19,8-12-10,11-2-7,11-3-7,13-15-14,18-6-11
25,1,2,1.25,45,1,6785.923877239227,Truck,0,10,9,1,22,19,12,14,21,3,8,5,11,2,20,0,Drones,0-16-10,3-23-8,9-4-1,10-6-9,10-7-9,12-17-14,12-24-14,14-13-21,14-15-21,20-18-0
25,1,2,1.25,60,1,29.532104969024658,Truck,0,23,15,12,22,21,9,24,2,0,Drones,0-4-23,0-18-23,2-1-0,2-6-0,12-13-22,12-14-22,15-19-12,15-20-12,21-8-9,21-16-9,22-3-21,22-17-21,23-5-15,23-11-15,24-7-2,24-10-2
